artifact_path,line,evidence
AUDIT_INDEX.md,12,"| Current fits, configs and selection trajectories | [shared-BC results.json](output/real_data/schottdorf_canonical_v1_shared_bc_development_22cell_20260830/results.json); `cells/<cell>/model-trained.pt`, `inner-trajectory.csv`, `refit-trajectory.csv` |"
AUDIT_INDEX.md,13,"| Learned parameters, RF and interventions | [shared-BC RESULTS.md](output/real_data/schottdorf_canonical_v1_shared_bc_development_22cell_20260830/RESULTS.md); `rf-tensors.pt`, `perturbation-tensors.pt`, `learned-pathway-quantities.csv` |"
AUDIT_INDEX.md,14,"| Frozen applications and White/Hermann diagnostic/controls | [application RESULTS.md](output/real_data/schottdorf_canonical_v1_shared_bc_frozen_applications_20260830/RESULTS.md); `illusion/`, `temporal/`, `input-manifest.json`, `verification.json` |"
AUDIT_INDEX.md,17,| LN checkpoint/filter provenance | [LN results](output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/results.json); `cells/<cell>/ln-trained.pt` |
AUDIT_INDEX.md,20,"| Fresh current-contract synthetic recovery | [synthetic results](output/synthetic_canonical_v1_shared_bc_noise_free_3seeds_20260830/results.json); teacher, student raw/trained checkpoints and RF/counterfactual tensors |"
AUDIT_INDEX.md,25,"| Correctness and history semantics | [correctness patch](output/audits/canonical_v1_correctness_patch_20260831/REPORT.md); [history audit](output/audits/illusion_history_semantics_20260831/REPORT.md); `output/architecture_conformance_20260831/`, `output/audits/current_checkpoint_applicability_20260831/` |"
AUDIT_INDEX.md,49,`audit/cleanup_20260905/local_only_artifacts.csv` and
AUDIT_INDEX.md,50,`audit/cleanup_20260905/publish_manifest.csv` before claiming an artifact was
CURRENT_STATE.md,14,- Final fits: `output/real_data/schottdorf_canonical_v1_shared_bc_development_22cell_20260830/`.
README.md,19,"Final lineage: `output/real_data/schottdorf_canonical_v1_shared_bc_development_22cell_20260830/`. It contains 22 cell-wise fits from 37 MC/PC recordings, native 150 Hz, measured Bernoulli spike events and 17x17 calibrated L+M Weber input. MC maps to parasol and PC to midget. No cross-recording population geometry is inferred. This is luminance fitting, not a full chromatic cone front-end."
