"quantity_or_claim","verdict","scope","evidence","evidence_files","interpretation_ceiling"
"RF center","UNIDENTIFIED","Biological center and independently data-determined Canonical center","Frozen LN nuisance; zero-centered symmetry explains seed center stability","rf_identifiability.csv; quantity_taxonomy.csv","Model energy centroid may be reported with definition; no biological recovery"
"global RF spatial pattern","FUNCTIONALLY SUPPORTED","Conditional functional RF in fixed spatial family; seed evidence only four zero-center cells","12 seed pair cosines .983164-.997655; aligned 22 replay exact but no aligned independent seeds","rf_identifiability.csv; primary_replay.json","Main text may show fitted conditional sensitivities; uniqueness of aligned22 UNVERIFIED"
"global RF temporal pattern","FUNCTIONALLY SUPPORTED","Observed-history-conditioned final-logit short-window profile","Original150 global retained energy .991660-.999898; 600-bin representatives .994468-.999895","rf_truncation.csv","Short-window functional description; no recovery of individual temporal constants"
"H1 RF","WEAKLY IDENTIFIABLE / MODEL-DEPENDENT","Ordered H1 RF shape and magnitude","Seed shape cosine >=.982649 but relativeL2 up to.819171; retained energy .744120 in long representative","rf_identifiability.csv; rf_truncation.csv","Order and lag truncation must be explicit; H1 magnitude and full temporal pattern not stable"
"direct-BC RF","FUNCTIONALLY SUPPORTED","Ordered functional pattern within restricted tested fits","Seed cosine >=.987989; retained original150 energy>=.994585; aligned seed gap","rf_identifiability.csv; rf_truncation.csv","Conditional shape only; not unique physiological circuit"
"AC RF","WEAKLY IDENTIFIABLE / MODEL-DEPENDENT","Ordered AC shape versus magnitude/full temporal profile","Seed cosine>=.996058; relativeL2 up to.201841; original150 energy down to.921014","rf_identifiability.csv; rf_truncation.csv","Narrow functional shape evidence; amplitude and full time course qualified"
"presence of functional H1 influence","FUNCTIONALLY SUPPORTED","Nonzero H1-off response in fitted models","All22 effects nonzero; all22 zero/aligned signed mean signs agree; all12 seed pair signs agree","pathway_identifiability.csv","Conditional influence; neither pathway necessity nor physiology"
"magnitude of H1 contribution","WEAKLY IDENTIFIABLE / MODEL-DEPENDENT","Mean absolute/RMS off-minus-normal effect","Alignment ratio .9658-32.1351; seed CV up to.2811; historical synthetic relativeL2~.09","pathway_identifiability.csv","directionally stable, quantitatively weakly identifiable"
"presence of direct-BC influence","FUNCTIONALLY SUPPORTED","Nonzero direct-BC-off response","Existing seed cosine>=.991079; all compared real signed means retain sign","pathway_identifiability.csv","Conditional fitted-model influence"
"magnitude of direct-BC contribution","WEAKLY IDENTIFIABLE / MODEL-DEPENDENT","Intervention magnitude, not raw gain","Seed CV .00609-.10512; alignment ratio .74735-1.38223; aligned seed evidence missing","pathway_identifiability.csv","More stable than H1 in these fits; cannot identify exact biological contribution"
"presence of AC influence","FUNCTIONALLY SUPPORTED","Nonzero AC-off response","Existing seed cosine>=.996662; all compared real signed means retain sign","pathway_identifiability.csv","Conditional fitted-model influence"
"magnitude of AC contribution","WEAKLY IDENTIFIABLE / MODEL-DEPENDENT","Intervention magnitude, not raw gain","Seed CV .02172-.14142; alignment ratio .73951-1.33799","pathway_identifiability.csv","directionally stable, quantitatively weakly identifiable"
"H1 tau","WEAKLY IDENTIFIABLE / MODEL-DEPENDENT","Effective fitted tau, not biological tau","15/22 near lower bound;20/22 decrease after alignment; seed28.483-38.641ms in67#4","temporal_identifiability.csv","No reliable unique physiological value; parameter recovery absent"
"H1 delay","WEAKLY IDENTIFIABLE / MODEL-DEPENDENT","Effective fitted fractional delay","5/22 near upper bound; zero/aligned rank correlation .34726","temporal_identifiability.csv","No reliable biological latency estimate"
"BC sustained/transient temporal family","SUPPORTED","Model contains a constrained pair of temporal families","Pairwise sustained>transient is enforced; finite16-bin normalized basis implemented","quantity_taxonomy.csv; bc_temporal_basis_overlap.csv","Code/prior claim only; evidence does not show spikes uniquely require these two families"
"individual BC tau","UNIDENTIFIED","Unique individual mode values","Exact joint mode permutation redundancy; overlap;67#6 mode1 range54.822-81.139ms","temporal_identifiability.csv; bc_temporal_basis_overlap.csv","Report aggregate fitted kernel; do not interpret mode index as physiological identity"
"BC delay","WEAKLY IDENTIFIABLE / MODEL-DEPENDENT","Fitted basis delays","Basis truncation/normalization couples delay and gain; seed/alignment changes; recovery not tested","temporal_identifiability.csv","Conditional effective delay only"
"AC local/transient temporal ordering","SUPPORTED","Ordering in the implementation","local>transient enforced for tau and delay; observed stability follows this constraint","quantity_taxonomy.csv; temporal_order_stability.csv","Prior/implementation fact, not recovered physiological ordering"
"individual AC tau","WEAKLY IDENTIFIABLE / MODEL-DEPENDENT","Effective local/transient state values","20/22 local and21/22 transient near lower bounds; synthetic parameter recovery absent","temporal_identifiability.csv","Stable small seed SD cannot establish physiological value or data domination"
"individual AC delay","WEAKLY IDENTIFIABLE / MODEL-DEPENDENT","Effective downstream delay estimates","Local20/22 and transient21/22 increase after spatial realignment","temporal_identifiability.csv","Cross-domain compensation is compatible with observed shifts; biological latency unvalidated"
"model contains this pathway","SUPPORTED","H1/shared BC/direct BC/AC computation exists","Actual forward and current correctness/causal contract checks","primary_replay.json; quantity_taxonomy.csv","Implementation claim"
"spikes require this pathway within model","UNIDENTIFIED","Necessity after allowing other parameters to compensate","Frozen clamps establish conditional effect; no optimized constrained alternative equivalence test","pathway_identifiability.csv","Do not infer necessity from a nonzero clamp effect"
"real retina uses this exact pathway contribution","UNIDENTIFIED","Biological pathway magnitude","No independent biological intervention or circuit ground truth; nuisance/seed sensitivity present","REPORT.md","Avoid"
"learned tau estimates biological time constant","UNIDENTIFIED","Biological parameter identity","Fixed family/bounds/order; no current-contract temporal recovery; no independent time-constant validation","temporal_identifiability.csv; REPORT.md","Avoid"
"same prediction implies same mechanism","UNIDENTIFIED","General implication from prediction similarity to parameter/intervention equivalence","Actual seed and historical synthetic counterexamples to quantitative interchangeability; no statistical equivalence test","prediction_vs_mechanism_equivalence.csv","Replace with separate prediction and mechanism evidence"
