"quantity","classification","code_source","trainable","prior_fixed_component","effective_definition","known_redundancy","real_data_evidence","synthetic_evidence","seed_evidence","current_biological_interpretation_ceiling"
"fixed functional center","FIXED PRIOR","D:/PythonProject/retina_rf_SNN/output/real_data/schottdorf_canonical_v1_fixed_ln_center_22cell_20260905/preflight.py::alignment","No in Canonical; fitted in LN","frozen full-training LN center; (x,-y)*3*4.6/256 degrees","checkpoint cell_positions_degs","not an independently estimated center within Canonical","22 exact LN-to-degree identities; primary replay PASS","fixed shared geometry only","existing seed models all at zero center","functional alignment nuisance; biological per-cell center UNVERIFIED"
"BC support","FIXED PRIOR","D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/support_partition.py::_BC_RADIUS","No","midget .06 / parasol .10 deg full disk","distance(cone,center)<=radius","discrete grid / fixed center determines mask","contract validated; fixed across fitting","fixed same-family geometry; historical N=8 source drift","same fixed zero-center masks","no recovery of biological support radius"
"AC support","FIXED PRIOR","D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/support_partition.py::_AC_RADIUS","No","midget .13 / parasol .15 deg overlapping full disk","broad BC input to AC uses this disk","shared BC weights and temporal bank with direct BC","current actual forward uses broad BC; no independent AC encoder","historical shared-BC only; current replay differs","same fixed masks","no recovery of biological AC arbor or radius"
"Gaussian spatial basis scales","FIXED PRIOR","D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/bipolar_subunits.py::_spatial_basis","No","midget .05/.14; parasol .09/.20 deg; normalized after disk mask","two fixed spatial profiles per branch","mixture of similar profiles; center/support imposed","spikes fit mixtures inside fixed spatial family","teacher and student share this family","same spatial family across fits","cannot identify actual anatomical width"
"global effective RF","FUNCTIONAL OUTPUT QUANTITY","D:/PythonProject/retina_rf_SNN/evaluation/mechanistic_retina/rf_effective.py::effective_rf","Derived","final logit; observed history held fixed; saved 16 lags","d logit(T) / d cone_drive(t)","prior-restricted spatial family; nonlinear stimulus conditioning","all22 reproducible; global retained energy >=.991660 in original150","historical shared-BC raw cosine already >=.996764; trained >=.999966","4 zero-center cells: pair cosine .983164-.997655; aligned seed evidence absent","conditional model sensitivity; no biological RF ground truth"
"pathway effective RF","FUNCTIONAL OUTPUT QUANTITY","D:/PythonProject/retina_rf_SNN/evaluation/mechanistic_retina/clean_sampled_reporting.py::rf_bundle","Derived","ordered normal/H1off/H1+ACoff logit Jacobians","directBC=J_H1ACoff; AC=J_H1off-J_H1ACoff; H1=J-J_H1off","ordered nonlinear interaction allocation; not standalone independent RF","zero/aligned nuisance sensitive; H1 tail loss up to ~25%","historical same-family pathway RF recovery only","4 zero-center cells shape stable; norms less stable","model-conditional ordered attribution"
"RF center","FUNCTIONAL OUTPUT QUANTITY","D:/PythonProject/retina_rf_SNN/evaluation/mechanistic_retina/rf_effective.py; D:/PythonProject/retina_rf_SNN/output/audits/aligned_canonical_identifiability_main_20260905/summarize_evidence.py::rf_shape","Derived","energy center definition; fixed symmetric spatial supports","sum_c position_c*sum_l RF(l,c)^2 / total_energy","zero-center symmetry pins center; stability need not come from spikes","zero/aligned median energy-center shift .086778 deg","shared fixed geometry constrains center","seed displacement <=1.16e-10 deg reflects symmetry","BIOLOGICAL QUANTITY UNVALIDATED"
"RF spatial extent","FUNCTIONAL OUTPUT QUANTITY","D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/support_partition.py; D:/PythonProject/retina_rf_SNN/output/audits/aligned_canonical_identifiability_main_20260905/summarize_evidence.py::rf_shape","Derived","fixed disk / Gaussian family; 16-lag energy","energy-weighted RMS radius around RF energy center","extent constrained by supports and weights","alignment max extent change .010285 deg","same-family extent cannot validate misspecification","max seed extent change .002344 deg","functional extent within imposed spatial family"
"RF temporal profile","FUNCTIONAL OUTPUT QUANTITY","D:/PythonProject/retina_rf_SNN/evaluation/mechanistic_retina/rf_effective.py; D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/rgc_state.py","Derived","16 bins oldest to current; dt=6.6667 ms; zero-state endpoint","signed sum over cones; squared-energy marginal separately","signed cancellation; finite kernel plus recurrent tail; stimulus dependence","global short window sufficient in tested contexts; H1 temporal tail not negligible","historical same-family logit derivative only","4-cell global signed temporal cosine >=.985672","conditional functional temporal pattern; not individual time constants"
"H1-off effect","FUNCTIONAL OUTPUT QUANTITY","D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/model.py::forward_sequence","Derived","set H1 amplitude to zero; recompute downstream with observed history fixed","logit_H1off - logit_normal on score mask","all downstream interactions included; not raw H1 amplitude","all22 signed mean preserved under alignment; median magnitude ratio1.8553","historical near-zero KL still H1 intervention relative L2~.09","all12 same signed-mean sign; cosine>=.98719; CV .093-.281","conditional functional influence, not physiological necessity"
"direct-BC-off effect","FUNCTIONAL OUTPUT QUANTITY","D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/model.py::forward_sequence","Derived","clamp direct sustained+transient only; broad BC/AC remains","logit_directBCoff - logit_normal","RGC nonlinear recomputation; not BC gain alone","all22 signed means retain sign; magnitude ratio .747-1.382","historical logit delta relative L2~.0094","cosine>=.991079; magnitude CV .0061-.1051","conditional direct-path influence only"
"AC-off effect","FUNCTIONAL OUTPUT QUANTITY","D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/model.py::forward_sequence","Derived","clamp AC local+transient; preserve shared BC input","logit_ACoff - logit_normal","downstream nonlinear effect; AC gate/gain not equivalent","all22 signed means retain sign; magnitude ratio .740-1.338","historical logit delta relative L2~.028","cosine>=.996662; magnitude CV .0217-.1414","conditional AC influence only"
"BC gain","LEARNED EFFECTIVE QUANTITY","D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/cell_specific_gains.py","Yes","positive exp(raw), shared over BC sustained/transient","multiply the two direct BC currents","compensates basis weights, temporal profile and downstream AC competition","aligned increase17/22; median absolute relative change .08567","not temporal parameter recovery","effective values saved for12fits","model gain; does not equal pathway contribution"
"AC gain","LEARNED EFFECTIVE QUANTITY","D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/cell_specific_gains.py","Yes","positive exp(raw), shared over AC local/transient","multiply the two AC currents","compensates gates, broad BC drive and RGC state","aligned increase16/22; median absolute relative change .08698","not temporal parameter recovery","effective values saved for12fits","model gain; does not equal physiological strength"
"AC local/transient mixture","LEARNED BUT GAUGE/REDUNDANT","D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/pathway_gates.py","Yes","two logits normalized by softmax; local+transient=1","effective gates times AC gain","exact common-offset raw-logit gauge; near compensation between similar state filters","forward-effective gates audited","historical functional intervention evidence only","12fits effective gates available","effective model mixture; biological split unvalidated"
"BC raw basis weights","LEARNED BUT GAUGE/REDUNDANT","D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/bipolar_subunits.py::positive_weights","Yes","softmax over12 weights per cell group; direct/broad share weights","normalized positive weights on 2 temporal x2 spatial x3 modes","exact common-offset gauge; simultaneous temporal-mode and weight permutation; near basis overlap","aligned BC basis cosine median .9732 sustained/.99634 transient","shared family makes raw RF already similar","4cell global RF stable despite amplitude changes","individual raw weights have no unique biological identity"
"H1 amplitude","LEARNED EFFECTIVE QUANTITY","D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/pathway_gates.py; D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/h1_pathway.py","Yes","bounded0-.2","scale H1 graph-projected lowpass surround before all BC","compensates center, H1 tau/delay and BC/AC mixture","22/22 increase; paired median change .029207","historical intervention magnitude error remains despite tiny KL","H1 intervention CV up to.281","effective model surround amplitude only"
"H1 tau","LEARNED EFFECTIVE QUANTITY","D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/h1_pathway.py; D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/temporal_parameters.py","Yes","10-200 ms logistic bound; fixed recurrent form","lowpass decay exp(-dt/tau)","delay/amplitude/BC and AC gain compensation","15/22 near lower bound;20/22 decrease after alignment","CURRENT-CONTRACT TEMPORAL PARAMETER RECOVERY NOT TESTED","67#4 range28.483-38.641 ms","value fitted within model; biological tau UNIDENTIFIED"
"H1 delay","LEARNED EFFECTIVE QUANTITY","D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/h1_pathway.py; D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/state.py::causal_fractional_delay","Yes","0-20 ms; fractional one-step interpolation","delay H1 graph signal before recurrent state","H1 tau and amplitude trade-off; weak below-bin numerical distinction","5/22 near upper;1/22 near lower; zero/aligned rank rho .3473","CURRENT-CONTRACT TEMPORAL PARAMETER RECOVERY NOT TESTED","4cell seed values available; not aligned","model delay; biological synaptic latency UNIDENTIFIED"
"BC sustained tau modes","LEARNED BUT GAUGE/REDUNDANT","D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/bipolar_subunits.py; D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/pathway_temporal.py","Yes","3 modes each20-200 ms; each sustained>paired transient","gamma-shaped L2-normalized modes evaluated on16 bins before delay","joint permutation of paired modes+weights; overlapping normalized basis; gain compensation","mode0 near lower21/22; modes1/2 also shifted","CURRENT-CONTRACT TEMPORAL PARAMETER RECOVERY NOT TESTED","67#6 mode1 range54.822-81.139 ms","sustained family imposed; individual mode identity unvalidated"
"BC transient tau modes","LEARNED BUT GAUGE/REDUNDANT","D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/bipolar_subunits.py; D:/PythonProject/retina_rf_SNN/models/mechanistic_retina/pathway_temporal.py","Yes","3 modes each5-120 ms; paired ordering","gamma-shaped L2-normalized finite16-bin modes","mode permutation; normalized-basis overlap and weights","lower-bound proximity19/22,17/22,11/22 across modes","CURRENT-CONTRACT TEMPORAL PARAMETER RECOVERY NOT TESTED","within-family ranks stable in4cells but labels not enforced","individual biological tau UNIDENTIFIED"
